Geracao,Melhor_Fitness
0,14.69359
1,12.41001
2,7.27429
3,7.27429
4,7.27429
5,7.27429
6,7.27429
7,7.27429
8,7.27429
9,7.27429
10,7.27429
11,7.24538
12,6.67563
13,6.67563
14,3.71848
15,3.68957
16,1.36838
17,1.07140
18,1.07140
19,1.07140
20,1.07140
21,1.07140
22,1.07140
23,1.07140
24,1.07140
25,0.98430
26,0.98430
27,0.98430
28,0.98430
29,0.98430
30,0.32291
31,0.32291
32,0.98430
33,0.98430
34,0.32291
35,0.32291
36,0.32291
37,0.32291
38,0.32291
39,0.32291
40,0.32291
41,0.32291
42,0.32291
43,0.32291
44,0.32291
45,0.32291
46,0.32291
47,0.32291
48,0.32291
49,0.32291
50,0.32291
51,0.32291
52,0.32291
53,0.32291
54,0.32291
55,0.32291
56,0.32291
57,0.32291
58,0.32291
59,0.32291
60,0.32291
61,0.32291
62,0.32291
63,0.22425
64,0.22425
65,0.22425
66,0.15160
67,0.15160
68,0.15160
69,0.15160
70,0.15160
71,0.15160
72,0.15160
73,0.15160
74,0.15098
75,0.15098
76,0.15098
77,0.15098
78,0.15098
79,0.15098
80,0.15098
81,0.15098
82,0.15098
83,0.15098
84,0.15074
85,0.15074
86,0.15074
87,0.15074
88,0.15074
89,0.15074
90,0.15074
91,0.15074
92,0.15074
93,0.15074
94,0.15074
95,0.15074
96,0.15074
97,0.15074
98,0.15074
99,0.15074
